CDF,DateSolde,Solde
79333,2020-04-02,-163408.61
79334,2020-04-02,-531234.19
79337,2020-04-02,-322973.84
79339,2020-04-02,-385085.18
79345,2020-04-02,-501655.77
79349,2020-04-02,-378576.6
79350,2020-04-02,-626103.99
79351,2020-04-02,-464838.73
79352,2020-04-02,-701019.21
79353,2020-04-02,-409220.56
79354,2020-04-02,-276708.11
79355,2020-04-02,-140783.47
79357,2020-04-02,-64144.19
79359,2020-04-02,-175816.08
79361,2020-04-02,-305046.35
79364,2020-04-02,-368254.07
79365,2020-04-02,-193613.92
79368,2020-04-02,-1458178.51
79369,2020-04-02,-427168.31
79371,2020-04-02,-459998.45
79372,2020-04-02,-717177.11
79374,2020-04-02,-481935.04
79375,2020-04-02,-797800.07
79401,2020-04-02,-824802.82
79411,2020-04-02,-1015964.33
79412,2020-04-02,-685993.95
79413,2020-04-02,-675286.37
79415,2020-04-02,-219535.79
79416,2020-04-02,-594733.24
79417,2020-04-02,-1146566.55
79418,2020-04-02,-292460.35
79419,2020-04-02,-292460.56
79420,2020-04-02,-480913.34
79421,2020-04-02,-957944.81
79422,2020-04-02,-928848.95
79423,2020-04-02,-232369.23
79424,2020-04-02,-305306.93
79425,2020-04-02,-160490.19
79426,2020-04-02,-354302.25
79427,2020-04-02,-578774.74
79428,2020-04-02,-466115.9
79429,2020-04-02,-474384.82
79430,2020-04-02,-535525.5
79431,2020-04-02,-838098.33
79432,2020-04-02,-244442.28
79433,2020-04-02,-520586.07
79434,2020-04-02,-623605.13
79435,2020-04-02,-180104.87
79436,2020-04-02,-532108.37
79437,2020-04-02,-543498.88
79438,2020-04-02,-160407.57
79439,2020-04-02,-370130.87
79440,2020-04-02,-472269.72
79441,2020-04-02,-243890.29
79442,2020-04-02,-683014.27
79443,2020-04-02,-177594.12
79444,2020-04-02,-1381627.31
79445,2020-04-02,-225517.52
79446,2020-04-02,-159440.86
79447,2020-04-02,-351995.85
79448,2020-04-02,-985462.06
79449,2020-04-02,-548740.18
79450,2020-04-02,-636595.83
79451,2020-04-02,-383637.55
79452,2020-04-02,-758507.56
79453,2020-04-02,-296438.05
79455,2020-04-02,-511013.0
79456,2020-04-02,-43025.05
79457,2020-04-02,-242211.5
79458,2020-04-02,-141789.68
79459,2020-04-02,-568663.38
79460,2020-04-02,-350414.96
79463,2020-04-02,-639586.24
79464,2020-04-02,-843680.51
79465,2020-04-02,-506928.34
79466,2020-04-02,-385302.72
79467,2020-04-02,-268280.93
79468,2020-04-02,-828520.71
79469,2020-04-02,-120975.19
79470,2020-04-02,-96167.87
79474,2020-04-02,-154290.55
79477,2020-04-02,-588817.49
79480,2020-04-02,-656018.3
79483,2020-04-02,-483864.87
79484,2020-04-02,-201045.25
79486,2020-04-02,-145808.21
79487,2020-04-02,-724323.95
79488,2020-04-02,-246406.58
79489,2020-04-02,-385417.81
79491,2020-04-02,-110441.36
79494,2020-04-02,-219983.99
79496,2020-04-02,-353977.96
79497,2020-04-02,-728983.84
79498,2020-04-02,-1236235.89
79501,2020-04-02,-510391.39
79502,2020-04-02,-345707.09
79601,2020-04-02,-523050.57
79701,2020-04-02,-1391102.73
81001,2020-04-02,-1983256.42
81002,2020-04-02,-1625678.75
81003,2020-04-02,-3312960.04
81004,2020-04-02,-949929.18
81005,2020-04-02,-581269.91
81006,2020-04-02,-574833.52
81007,2020-04-02,-1131166.73
81008,2020-04-02,-1833032.39
81009,2020-04-02,-663188.4
81010,2020-04-02,-879263.37
81011,2020-04-02,-1142040.97
81012,2020-04-02,-320066.72
81013,2020-04-02,-875638.55
81014,2020-04-02,-590727.18
81015,2020-04-02,-578172.6
81016,2020-04-02,-518951.87
81017,2020-04-02,-931094.34
81018,2020-04-02,-423267.08
81019,2020-04-02,-1294874.29
81020,2020-04-02,-953627.48
81021,2020-04-02,-598501.36
81022,2020-04-02,-80879.89
81024,2020-04-02,-1272422.56
81025,2020-04-02,-769530.48
81026,2020-04-02,-444862.55
81030,2020-04-02,-212155.85
81031,2020-04-02,-327083.97
81032,2020-04-02,-182333.99
81033,2020-04-02,-279864.77
81038,2020-04-02,-489002.02
81039,2020-04-02,-814268.23
81041,2020-04-02,-1613609.01
81042,2020-04-02,-838772.21
81043,2020-04-02,-476550.49
81044,2020-04-02,-641873.26
81045,2020-04-02,-775626.0
81501,2020-04-02,-763876.35
81502,2020-04-02,-748716.15
81504,2020-04-02,-757969.39
81505,2020-04-02,-490602.64
81506,2020-04-02,-372203.77
81507,2020-04-02,-669671.88
81508,2020-04-02,-643416.05
81509,2020-04-02,-429454.06
81510,2020-04-02,-260005.26
81511,2020-04-02,-516836.42
81512,2020-04-02,-403747.41
81515,2020-04-02,-1217211.99
81516,2020-04-02,-153706.17
81519,2020-04-02,-181868.22
81520,2020-04-02,-217870.39
81521,2020-04-02,-689509.76
81522,2020-04-02,-501538.85
81523,2020-04-02,-147438.53
81524,2020-04-02,-349807.13
82101,2020-04-02,-625001.53
82102,2020-04-02,-775577.71
82103,2020-04-02,-816884.57
82201,2020-04-02,-611498.29
82501,2020-04-02,-1264193.7
82502,2020-04-02,-1238841.42
82503,2020-04-02,-239099.16
82504,2020-04-02,-655287.38
82505,2020-04-02,-459543.17
